実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"495,644.8 ","268,198.5 ","264,020.3 ","225,987.1 ","38,502.0 ","84,970.6 ","2,383.7 ","77,094.3 ","47,251.2 ",244.4 ,"-13,247.6 ","39,897.4 ","53,145.1 ","-9,752.3 ",,"14,998.4 ","510,643.1 ","6,242.5 ","11,794.3 ","5,551.8 ","516,885.6 ",,"514,919.4 ","392,729.9 ","122,142.0 ",,"167,690.3 ",,"492,528.6 ",,,
1997/ 1- 3.,"498,914.3 ","272,129.6 ","267,983.4 ","229,731.3 ","38,641.5 ","86,394.2 ",-348.0 ,"77,028.5 ","46,927.9 ",133.8 ,"-12,461.9 ","41,124.7 ","53,586.6 ","-9,531.3 ",,"14,456.8 ","513,371.1 ","6,778.0 ","12,543.5 ","5,765.4 ","520,149.1 ",,"517,209.8 ","395,474.6 ","121,681.1 ",,"169,043.0 ",,"498,567.9 ",,,
4- 6.,"495,406.7 ","265,224.3 ","261,154.4 ","222,749.9 ","35,389.1 ","86,201.4 ","2,532.3 ","77,337.9 ","47,065.6 ",64.1 ,"-9,817.6 ","42,897.0 ","52,714.6 ","-8,590.4 ",,"14,777.6 ","510,184.3 ","6,871.9 ","12,519.9 ","5,648.0 ","517,056.1 ",,"510,612.0 ","388,528.2 ","122,064.7 ",,"166,098.9 ",,"492,294.3 ",,,
7- 9.,"496,175.2 ","265,532.1 ","261,533.3 ","222,953.6 ","33,448.6 ","86,353.5 ","4,872.0 ","77,173.2 ","47,494.8 ",142.2 ,"-10,318.7 ","42,292.8 ","52,611.5 ","-8,522.3 ",,"14,890.1 ","511,065.4 ","5,992.4 ","11,793.8 ","5,801.3 ","517,057.8 ",,"512,050.7 ","389,665.4 ","122,367.9 ",,"164,943.3 ",,"490,702.4 ",,,
10-12.,"496,115.1 ","265,052.5 ","260,956.0 ","222,209.0 ","32,273.8 ","88,361.0 ","3,356.4 ","77,567.1 ","45,252.6 ",438.4 ,"-8,127.9 ","43,230.1 ","51,358.1 ","-8,058.6 ",,"15,430.5 ","511,545.6 ","7,136.8 ","13,433.9 ","6,297.2 ","518,682.4 ",,"509,739.0 ","388,768.3 ","120,939.8 ",,"164,029.5 ",,"491,891.3 ",,,
1998/ 1- 3.,"488,270.0 ","264,440.2 ","260,089.1 ","221,173.4 ","31,483.0 ","84,946.3 ","3,655.0 ","77,544.9 ","42,643.1 ",230.0 ,"-8,788.5 ","42,129.6 ","50,918.1 ","-7,884.1 ",,"16,161.9 ","504,431.9 ","6,727.4 ","12,658.1 ","5,930.7 ","511,159.3 ",,"502,503.3 ","384,121.9 ","118,332.2 ",,"157,309.0 ",,"483,935.7 ",,,
4- 6.,"485,570.7 ","264,389.0 ","259,751.9 ","220,675.6 ","30,923.8 ","83,679.4 ","1,531.2 ","78,058.7 ","42,361.9 ",162.8 ,"-7,352.5 ","41,320.2 ","48,672.7 ","-8,183.7 ",,"15,975.1 ","501,545.8 ","5,708.6 ","11,902.5 ","6,193.9 ","507,254.4 ",,"498,644.0 ","380,075.0 ","118,538.3 ",,"155,207.6 ",,"483,368.4 ",,,
7- 9.,"486,204.1 ","266,676.6 ","261,827.1 ","222,562.9 ","30,262.9 ","82,974.0 ",-725.1 ,"78,488.0 ","44,288.8 ",-80.9 ,"-7,358.6 ","41,435.1 ","48,793.8 ","-8,321.6 ",,"15,642.1 ","501,846.1 ","6,457.7 ","12,020.1 ","5,562.4 ","508,303.8 ",,"499,268.3 ","378,727.1 ","120,543.7 ",,"155,626.5 ",,"486,401.5 ",,,
10-12.,"490,399.7 ","266,106.9 ","261,106.0 ","221,679.0 ","29,826.0 ","80,841.3 ","2,413.8 ","79,042.4 ","48,865.5 ",-572.1 ,"-6,961.9 ","40,699.2 ","47,661.1 ","-9,162.1 ",,"16,098.9 ","506,498.7 ","5,888.5 ","10,257.8 ","4,369.3 ","512,387.2 ",,"503,537.6 ","378,692.7 ","124,908.0 ",,"157,124.9 ",,"487,925.6 ",,,
1999/ 1- 3.,"483,241.3 ","266,977.5 ","261,900.8 ","222,240.0 ","29,526.4 ","78,638.3 ","-3,838.6 ","79,941.0 ","49,244.6 ",-83.3 ,"-8,279.9 ","40,788.8 ","49,068.7 ","-8,884.8 ",,"16,839.3 ","500,080.6 ","5,244.2 ","10,025.6 ","4,781.4 ","505,324.8 ",,"497,213.9 ","370,782.3 ","126,564.2 ",,"154,840.1 ",,"486,348.1 ",,,
