実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
7- 9.,"522,010.3 ","288,499.1 ","283,284.4 ","238,608.2 ","30,918.5 ","82,602.0 ","2,088.2 ","90,759.4 ","33,781.2 ",51.6 ,"-3,359.1 ","60,766.7 ","64,125.7 ","-3,330.5 ",,"13,028.0 ","535,038.3 ","10,524.8 ","13,666.7 ","3,141.9 ","545,563.1 ",,"527,194.4 ","403,442.6 ","123,746.9 ",,"146,149.4 ",,"519,401.5 ",,,
10-12.,"520,019.7 ","285,919.0 ","280,672.5 ","235,818.3 ","31,080.3 ","84,283.1 ","1,705.5 ","90,790.0 ","33,463.3 ",151.1 ,"-4,463.1 ","61,550.1 ","66,013.2 ","-2,909.6 ",,"13,449.4 ","533,469.0 ","10,990.4 ","14,294.8 ","3,304.4 ","544,459.5 ",,"525,924.4 ","402,330.7 ","123,587.2 ",,"147,770.0 ",,"517,681.0 ",,,
2005/ 1- 3.,"523,238.4 ","288,637.6 ","283,348.8 ","238,396.3 ","30,574.6 ","86,236.9 ",731.4 ,"91,673.2 ","32,796.9 ",179.9 ,"-4,653.1 ","60,948.9 ","65,602.0 ","-2,939.0 ",,"12,426.8 ","535,665.2 ","10,516.4 ","14,469.3 ","3,952.9 ","546,181.6 ",,"529,569.0 ","405,635.7 ","123,928.8 ",,"148,741.6 ",,"521,805.8 ",,,
4- 6.,"528,269.3 ","290,606.6 ","285,245.0 ","240,158.8 ","30,442.8 ","89,223.3 ","1,587.3 ","91,260.6 ","30,841.0 ",-18.0 ,"-3,257.0 ","63,542.6 ","66,799.6 ","-2,417.4 ",,"10,532.2 ","538,801.4 ","11,760.3 ","15,925.9 ","4,165.5 ","550,561.7 ",,"532,936.6 ","411,376.2 ","121,567.5 ",,"149,936.7 ",,"526,189.6 ",,,
7- 9.,"533,030.5 ","293,291.1 ","287,866.7 ","242,602.7 ","31,042.3 ","90,977.1 ",285.5 ,"91,137.9 ","31,540.9 ",9.4 ,"-2,989.0 ","65,550.4 ","68,539.3 ","-2,264.8 ",,"8,945.6 ","541,976.1 ","12,498.8 ","16,714.9 ","4,216.0 ","554,474.9 ",,"537,169.3 ","415,086.4 ","122,093.2 ",,"152,971.4 ",,"532,176.8 ",,,
10-12.,"534,526.4 ","293,767.8 ","288,302.7 ","242,847.8 ","31,393.1 ","89,369.6 ",410.9 ,"91,590.0 ","30,848.9 ",-13.1 ,-843.7 ,"67,844.3 ","68,688.0 ","-1,997.1 ",,"8,046.2 ","542,572.6 ","13,433.2 ","18,189.3 ","4,756.1 ","556,005.8 ",,"536,270.1 ","414,365.7 ","121,916.8 ",,"150,957.6 ",,"533,577.0 ",,,
2006/ 1- 3.,"534,941.4 ","293,771.4 ","288,295.1 ","242,655.4 ","30,926.3 ","89,202.5 ",118.4 ,"91,313.2 ","31,913.4 ",31.2 ,-508.0 ,"69,399.5 ","69,907.5 ","-1,826.9 ",,"6,060.9 ","541,002.4 ","14,159.3 ","19,345.2 ","5,185.9 ","555,161.7 ",,"536,110.0 ","413,489.5 ","122,629.4 ",,"151,349.9 ",,"534,242.6 ",,,
4- 6.,"536,427.0 ","294,765.2 ","289,259.1 ","243,439.0 ","30,866.8 ","91,046.1 ",-804.0 ,"91,728.1 ","30,605.2 ",-25.8 ,-253.1 ,"70,573.3 ","70,826.4 ","-1,501.6 ",,"5,776.6 ","542,203.6 ","14,035.4 ","19,597.8 ","5,562.5 ","556,239.0 ",,"537,177.1 ","415,373.1 ","121,822.8 ",,"152,010.5 ",,"536,703.7 ",,,
7- 9.,"536,355.2 ","292,437.4 ","286,884.6 ","240,871.4 ","30,882.8 ","91,012.6 ","1,015.3 ","91,819.6 ","29,162.7 ",38.8 ,"1,110.4 ","71,889.1 ","70,778.7 ","-1,124.3 ",,"4,639.0 ","540,994.2 ","14,649.0 ","20,355.5 ","5,706.5 ","555,643.2 ",,"535,527.3 ","414,857.6 ","120,693.8 ",,"150,646.7 ",,"534,763.9 ",,,
10-12.,"543,556.3 ","297,058.0 ","291,512.0 ","245,326.0 ","30,724.0 ","92,899.0 ",743.9 ,"91,786.1 ","29,504.3 ",-10.2 ,"1,953.3 ","72,757.7 ","70,804.3 ","-1,102.2 ",,"5,470.4 ","549,026.7 ","15,505.6 ","21,839.1 ","6,333.5 ","564,532.3 ",,"541,888.1 ","421,010.1 ","120,909.6 ",,"152,798.7 ",,"542,273.7 ",,,
2007/ 1- 3.,"547,460.8 ","296,130.0 ","290,627.6 ","244,239.8 ","30,762.4 ","93,678.0 ","2,550.2 ","92,302.1 ","29,861.7 ",-109.8 ,"3,097.9 ","74,493.7 ","71,395.8 ",-811.8 ,,"5,063.3 ","552,524.1 ","16,663.7 ","23,445.6 ","6,781.9 ","569,187.8 ",,"544,397.3 ","422,784.9 ","121,638.9 ",,"153,981.2 ",,"544,435.6 ",,,
4- 6.,"548,320.3 ","298,727.1 ","293,284.9 ","246,727.3 ","30,221.7 ","92,733.2 ",913.4 ,"93,192.6 ","29,092.9 ",127.5 ,"3,747.7 ","76,250.2 ","72,502.5 ",-435.8 ,,"4,225.9 ","552,546.1 ","17,374.2 ","23,690.0 ","6,315.9 ","569,920.3 ",,"544,376.8 ","422,251.9 ","122,147.3 ",,"151,780.1 ",,"546,681.4 ",,,
7- 9.,"544,726.7 ","295,272.2 ","289,865.4 ","243,167.8 ","27,836.6 ","91,624.2 ","1,536.7 ","93,037.7 ","28,836.9 ",39.1 ,"6,265.9 ","78,149.3 ","71,883.4 ",277.3 ,,"2,766.5 ","547,493.2 ","15,603.0 ","23,724.2 ","8,121.3 ","563,096.2 ",,"537,798.9 ","416,168.0 ","121,650.1 ",,"148,185.2 ",,"542,558.5 ",,,
10-12.,"547,803.4 ","296,799.1 ","291,416.7 ","244,617.4 ","25,122.2 ","91,528.0 ","2,580.3 ","93,907.9 ","29,318.3 ",69.6 ,"7,598.6 ","80,458.4 ","72,859.8 ",879.5 ,,-730.2 ,"547,073.2 ","17,377.0 ","24,522.3 ","7,145.3 ","564,450.2 ",,"539,252.6 ","416,255.6 ","123,015.4 ",,"146,029.0 ",,"544,531.0 ",,,
2008/ 1- 3.,"548,937.9 ","297,285.0 ","291,907.2 ","244,944.1 ","25,597.0 ","92,191.3 ","1,780.6 ","93,693.0 ","28,501.9 ",84.5 ,"8,689.2 ","82,471.9 ","73,782.7 ","1,115.4 ",,"-2,922.5 ","546,015.4 ","16,803.2 ","22,969.9 ","6,166.7 ","562,818.6 ",,"539,041.2 ","416,981.7 ","122,078.7 ",,"146,396.7 ",,"546,500.1 ",,,
4- 6.,"546,331.7 ","294,131.3 ","288,782.0 ","241,618.5 ","26,608.7 ","90,938.2 ","4,155.1 ","92,624.0 ","27,652.9 ",-36.6 ,"9,064.2 ","80,801.6 ","71,737.5 ","1,193.8 ",,"-5,398.4 ","540,933.2 ","13,254.3 ","19,280.5 ","6,026.1 ","554,187.6 ",,"536,031.1 ","415,988.0 ","120,060.9 ",,"145,233.1 ",,"541,524.4 ",,,
7- 9.,"540,261.2 ","293,498.3 ","288,185.2 ","240,830.8 ","27,207.5 ","89,774.2 ",-459.0 ,"92,728.3 ","27,751.1 ",-43.1 ,"8,918.2 ","80,848.5 ","71,930.3 ",885.7 ,,"-8,888.5 ","531,372.7 ","14,046.9 ","19,625.9 ","5,579.1 ","545,419.6 ",,"530,028.5 ","409,804.6 ","120,248.8 ",,"144,662.4 ",,"540,321.4 ",,,
10-12.,"527,417.3 ","289,427.6 ","284,073.5 ","236,499.2 ","26,906.1 ","86,820.2 ","7,044.0 ","93,025.9 ","27,609.9 ",55.2 ,"-2,616.1 ","70,674.1 ","73,290.2 ",-855.5 ,,-905.6 ,"526,511.7 ","12,626.2 ","17,902.9 ","5,276.7 ","539,137.9 ",,"531,003.7 ","410,478.0 ","120,552.8 ",,"141,172.0 ",,"519,374.2 ",,,
2009/ 1- 3.,"504,011.6 ","291,223.8 ","285,777.6 ","238,018.8 ","24,197.0 ","81,449.3 ","-3,441.7 ","93,545.4 ","27,908.0 ",-87.9 ,"-8,838.0 ","52,657.3 ","61,495.3 ","-1,944.4 ",,"4,634.4 ","508,646.1 ","11,925.9 ","16,473.9 ","4,548.0 ","520,571.9 ",,"514,091.7 ","392,975.1 ","121,167.2 ",,"133,343.7 ",,"507,626.7 ",,,
4- 6.,"509,676.0 ","289,777.9 ","284,237.3 ","236,291.9 ","22,077.9 ","79,043.5 ","-4,297.1 ","94,708.2 ","30,134.3 ",12.1 ,"-1,293.6 ","57,449.6 ","58,743.2 ",-487.2 ,,"4,423.6 ","514,099.6 ","13,404.5 ","17,449.1 ","4,044.6 ","527,504.1 ",,"510,699.5 ","386,236.3 ","124,533.5 ",,"130,946.8 ",,"514,052.9 ",,,
7- 9.,"506,384.5 ","289,128.3 ","283,522.7 ","235,418.5 ","20,731.5 ","76,841.5 ","-6,240.3 ","95,628.8 ","29,571.6 ",15.3 ,"1,112.5 ","62,976.1 ","61,863.6 ",-404.7 ,,"2,693.0 ","509,077.5 ","12,804.3 ","16,750.0 ","3,945.8 ","521,881.7 ",,"504,899.9 ","380,015.4 ","124,959.9 ",,"126,876.5 ",,"512,873.3 ",,,
10-12.,"514,485.4 ","292,667.3 ","287,002.0 ","238,763.6 ","20,434.5 ","76,311.9 ","-5,015.2 ","95,869.1 ","29,874.7 ",28.9 ,"4,233.2 ","67,520.2 ","63,287.0 ",81.1 ,,"1,556.2 ","516,041.6 ","12,779.5 ","16,450.1 ","3,670.6 ","528,821.1 ",,"509,521.0 ","384,089.6 ","125,499.2 ",,"126,335.4 ",,"519,603.5 ",,,
2010/ 1- 3.,"520,844.0 ","294,510.3 ","288,783.9 ","240,385.3 ","21,275.6 ","76,528.3 ","-3,400.0 ","95,152.0 ","30,306.4 ",91.5 ,"6,390.2 ","71,525.1 ","65,134.8 ",-10.2 ,,947.4 ,"521,791.5 ","13,855.9 ","17,912.9 ","4,057.0 ","535,647.3 ",,"513,764.8 ","388,608.7 ","125,225.5 ",,"127,760.1 ",,"524,240.3 ",,,
4- 6.,"528,053.7 ","297,236.6 ","291,484.3 ","242,929.3 ","21,445.1 ","77,157.0 ",-386.7 ,"97,108.3 ","28,575.1 ",-24.9 ,"6,653.8 ","74,983.7 ","68,329.9 ",289.3 ,,59.6 ,"528,113.3 ","13,509.2 ","17,894.9 ","4,385.7 ","541,622.5 ",,"520,717.0 ","395,282.3 ","125,509.1 ",,"126,935.1 ",,"528,457.2 ",,,
7- 9.,"537,192.1 ","301,911.6 ","296,135.3 ","247,456.0 ","21,689.2 ","77,836.5 ","2,432.0 ","97,468.0 ","28,164.3 ",-144.7 ,"7,437.3 ","77,043.0 ","69,605.7 ",397.8 ,,-341.0 ,"536,851.1 ","14,304.7 ","18,514.8 ","4,210.1 ","551,155.8 ",,"529,118.5 ","403,834.7 ","125,370.7 ",,"127,479.7 ",,"534,796.0 ",,,
10-12.,"532,541.3 ","297,318.1 ","291,423.5 ","242,474.8 ","22,350.5 ","77,208.7 ","2,561.7 ","97,984.8 ","27,519.3 ",-56.2 ,"7,211.9 ","77,323.9 ","70,112.0 ",442.4 ,,"-1,313.6 ","531,227.7 ","14,586.1 ","19,017.8 ","4,431.7 ","545,813.8 ",,"524,675.8 ","399,356.3 ","125,399.8 ",,"126,843.1 ",,"529,899.0 ",,,
2011/ 1- 3.,"524,866.3 ","291,093.6 ","284,997.4 ","235,897.2 ","23,188.2 ","77,800.9 ",945.9 ,"98,672.4 ","27,185.9 ",-56.7 ,"5,708.7 ","76,625.2 ","70,916.5 ",327.5 ,,"-3,660.3 ","521,206.0 ","15,308.2 ","19,694.6 ","4,386.4 ","536,514.2 ",,"518,546.0 ","392,803.1 ","125,796.1 ",,"127,925.7 ",,"523,910.6 ",,,
4- 6.,"521,537.1 ","294,502.8 ","288,204.0 ","239,343.8 ","22,638.8 ","77,129.8 ",117.7 ,"98,926.1 ","27,885.6 ",-11.5 ,282.3 ,"70,898.4 ","70,616.1 ",65.6 ,,"-6,216.9 ","515,320.2 ","15,264.1 ","19,468.0 ","4,203.8 ","530,584.3 ",,"520,856.8 ","394,157.9 ","126,749.0 ",,"127,378.3 ",,"521,393.5 ",,,
7- 9.,"534,080.6 ","297,439.5 ","290,970.1 ","241,939.0 ","23,463.0 ","78,367.5 ","3,337.6 ","99,354.8 ","27,095.8 ",41.3 ,"4,528.4 ","77,497.3 ","72,968.9 ",452.9 ,,"-7,026.6 ","527,054.0 ","15,197.8 ","19,424.5 ","4,226.8 ","542,251.8 ",,"528,985.1 ","402,553.4 ","126,520.1 ",,"128,676.9 ",,"530,448.2 ",,,
10-12.,"534,232.5 ","300,593.3 ","293,981.0 ","244,779.2 ","23,087.8 ","83,518.3 ",-264.1 ,"99,697.8 ","26,244.1 ",-14.6 ,"1,184.7 ","75,543.2 ","74,358.5 ",185.3 ,,"-7,181.0 ","527,051.6 ","14,364.5 ","18,606.0 ","4,241.5 ","541,416.1 ",,"532,649.3 ","406,736.8 ","126,025.3 ",,"132,823.1 ",,"534,504.7 ",,,
2012/ 1- 3.,"542,251.3 ","301,308.9 ","294,584.2 ","245,168.3 ","22,990.8 ","82,956.4 ","3,761.3 ","100,734.7 ","27,768.5 ",2.7 ,"2,322.7 ","77,864.8 ","75,542.1 ",405.3 ,,"-7,928.4 ","534,322.9 ","14,325.7 ","18,653.2 ","4,327.5 ","548,648.6 ",,"539,558.4 ","411,146.6 ","128,511.3 ",,"133,599.8 ",,"538,116.1 ",,,
4- 6.,"537,320.2 ","302,045.2 ","295,177.8 ","245,542.8 ","23,346.0 ","82,713.2 ",697.5 ,"100,610.7 ","28,092.7 ",45.6 ,-49.7 ,"77,154.1 ","77,203.8 ",-180.8 ,,"-8,228.3 ","529,091.9 ","14,316.7 ","19,078.8 ","4,762.2 ","543,408.6 ",,"537,274.2 ","408,625.4 ","128,734.6 ",,"133,990.7 ",,"536,505.5 ",,,
7- 9.,"535,247.9 ","302,514.4 ","295,489.2 ","245,666.2 ","23,862.2 ","82,136.1 ","1,037.7 ","100,933.9 ","27,588.7 ",75.6 ,"-2,695.1 ","74,305.3 ","77,000.3 ",-205.6 ,,"-6,179.0 ","529,068.8 ","14,698.9 ","18,912.6 ","4,213.7 ","543,767.7 ",,"537,900.6 ","409,357.8 ","128,633.8 ",,"133,403.6 ",,"534,030.0 ",,,
10-12.,"534,934.8 ","304,055.0 ","296,951.1 ","246,928.4 ","24,346.6 ","82,042.0 ",-729.7 ,"101,655.4 ","26,996.8 ",8.9 ,"-3,280.6 ","71,807.7 ","75,088.3 ",-159.5 ,,"-6,495.3 ","528,439.6 ","14,960.1 ","19,785.6 ","4,825.5 ","543,399.7 ",,"537,988.6 ","409,338.1 ","128,740.1 ",,"133,200.4 ",,"535,735.4 ",,,
2013/ 1- 3.,"541,591.6 ","308,868.2 ","301,772.3 ","251,572.7 ","24,362.3 ","81,058.8 ",128.2 ,"101,462.3 ","27,169.9 ",-97.3 ,"-1,319.5 ","74,116.2 ","75,435.7 ",-41.4 ,,"-8,180.4 ","533,411.2 ","16,302.7 ","21,563.8 ","5,261.1 ","549,713.9 ",,"542,553.3 ","414,102.2 ","128,564.8 ",,"132,369.1 ",,"541,588.6 ",,,
4- 6.,"547,324.5 ","310,946.8 ","303,800.2 ","253,390.3 ","24,638.9 ","84,413.5 ","-2,004.2 ","102,743.4 ","28,154.1 ",15.5 ,"-1,270.6 ","76,622.3 ","77,893.0 ",-312.9 ,,"-7,788.4 ","539,536.1 ","20,236.7 ","26,322.0 ","6,085.3 ","559,772.8 ",,"548,389.6 ","417,560.0 ","130,926.1 ",,"137,020.9 ",,"549,479.4 ",,,
7- 9.,"552,544.4 ","312,525.9 ","305,293.9 ","254,662.0 ","25,647.5 ","85,739.0 ",-507.8 ,"102,835.6 ","29,689.6 ",-71.0 ,"-2,822.6 ","76,537.1 ","79,359.7 ",-491.7 ,,"-7,923.5 ","544,620.9 ","18,237.9 ","25,126.6 ","6,888.8 ","562,858.8 ",,"555,281.0 ","423,047.2 ","132,335.8 ",,"140,808.4 ",,"553,178.2 ",,,
10-12.,"551,765.5 ","311,767.0 ","304,590.6 ","253,808.3 ","26,457.9 ","86,853.1 ",-83.7 ,"103,046.7 ","30,002.2 ",64.2 ,"-5,531.3 ","76,197.2 ","81,728.5 ",-810.5 ,,"-8,806.9 ","542,958.6 ","18,448.8 ","24,928.4 ","6,479.6 ","561,407.4 ",,"557,567.0 ","424,645.9 ","133,020.6 ",,"143,023.6 ",,"551,754.1 ",,,
2014/ 1- 3.,"557,273.0 ","318,145.0 ","311,180.2 ","260,368.0 ","26,704.2 ","89,915.8 ","-2,454.7 ","103,014.7 ","29,541.9 ",65.5 ,"-5,942.2 ","80,852.6 ","86,794.8 ","-1,717.1 ",,"-11,039.3 ","546,233.7 ","18,415.3 ","25,895.5 ","7,480.2 ","564,649.0 ",,"564,204.5 ","431,776.2 ","132,568.7 ",,"145,950.6 ",,"559,896.3 ",,,
4- 6.,"549,531.3 ","303,775.5 ","297,132.6 ","246,124.9 ","24,709.9 ","88,849.3 ","2,259.0 ","103,152.4 ","28,368.9 ",82.6 ,"-1,331.3 ","82,050.3 ","83,381.6 ",-334.8 ,,"-9,515.0 ","540,016.3 ","18,330.8 ","26,081.9 ","7,751.0 ","558,347.2 ",,"551,186.2 ","419,647.5 ","131,634.5 ",,"141,820.8 ",,"546,867.9 ",,,
7- 9.,"550,594.7 ","305,910.8 ","299,537.7 ","248,504.2 ","23,680.9 ","90,418.6 ",-313.9 ,"103,566.3 ","29,267.0 ",140.2 ,"-1,371.1 ","83,245.7 ","84,616.8 ",-704.1 ,,"-9,677.9 ","540,916.8 ","20,199.9 ","28,131.1 ","7,931.3 ","561,116.7 ",,"552,481.8 ","419,568.5 ","132,989.0 ",,"143,303.6 ",,"550,711.9 ",,,
10-12.,"553,755.6 ","306,552.3 ","300,134.9 ","249,034.3 ","23,614.4 ","91,121.3 ",-777.2 ,"103,941.3 ","29,269.9 ",16.8 ,603.0 ,"85,745.1 ","85,142.2 ",-586.2 ,,"-8,332.5 ","545,423.1 ","22,822.3 ","31,343.8 ","8,521.5 ","568,245.4 ",,"553,474.1 ","420,349.4 ","133,201.0 ",,"143,956.3 ",,"554,564.6 ",,,
2015/ 1- 3.,"562,438.6 ","308,730.1 ","301,966.0 ","250,804.4 ","24,408.4 ","94,895.7 ",104.3 ,"104,724.9 ","28,272.8 ",101.3 ,"1,406.4 ","86,975.2 ","85,568.9 ",-205.2 ,,"-4,779.9 ","557,658.7 ","20,688.9 ","29,235.9 ","8,547.0 ","578,347.6 ",,"561,102.7 ","428,068.8 ","133,146.6 ",,"147,570.8 ",,"562,152.7 ",,,
4- 6.,"563,038.3 ","308,858.9 ","301,746.6 ","250,519.0 ","24,727.4 ","94,899.8 ","2,033.0 ","104,609.2 ","27,752.9 ",-66.1 ,204.6 ,"84,120.1 ","83,915.5 ",18.7 ,,"-3,315.6 ","559,722.7 ","21,887.0 ","30,548.8 ","8,661.7 ","581,609.8 ",,"562,772.5 ","430,603.3 ","132,305.7 ",,"147,369.7 ",,"560,849.3 ",,,
7- 9.,"563,857.7 ","309,956.5 ","302,618.9 ","251,331.1 ","24,769.9 ","95,400.0 ","1,110.9 ","105,214.7 ","27,750.3 ",-75.0 ,67.1 ,"86,252.2 ","86,185.1 ",-336.8 ,,"-2,399.0 ","561,458.6 ","21,508.0 ","30,810.4 ","9,302.4 ","582,966.7 ",,"564,008.5 ","431,236.3 ","132,903.9 ",,"147,912.5 ",,"562,702.5 ",,,
10-12.,"562,732.1 ","308,221.0 ","300,656.4 ","249,303.1 ","24,672.1 ","95,577.9 ",890.8 ,"105,950.6 ","28,344.2 ",-54.1 ,-518.9 ,"85,297.9 ","85,816.8 ",-351.5 ,,"-1,330.3 ","561,401.9 ","22,445.0 ","32,017.1 ","9,572.1 ","583,846.8 ",,"563,488.1 ","429,345.4 ","134,248.0 ",,"148,578.5 ",,"561,794.1 ",,,
2016/ 1- 3.,"567,461.8 ","308,605.9 ","300,819.0 ","249,400.0 ","24,398.7 ","95,113.2 ","1,347.1 ","107,380.1 ","29,282.5 ",45.0 ,"1,300.8 ","85,928.8 ","84,627.9 ",-11.5 ,,"2,236.7 ","569,698.5 ","20,726.2 ","30,097.9 ","9,371.7 ","590,424.6 ",,"566,096.9 ","429,474.4 ","136,702.4 ",,"148,762.7 ",,"565,937.3 ",,,
4- 6.,"565,691.4 ","306,362.8 ","298,310.4 ","246,913.8 ","24,886.9 ","94,924.1 ","3,133.0 ","106,450.5 ","28,284.6 ",-214.5 ,"1,693.9 ","85,424.6 ","83,730.7 ",170.2 ,,"2,249.5 ","567,941.0 ","19,442.0 ","29,365.4 ","9,923.4 ","587,383.0 ",,"563,859.5 ","429,426.8 ","134,537.3 ",,"148,068.7 ",,"562,525.0 ",,,
7- 9.,"566,980.8 ","307,775.7 ","299,457.7 ","248,022.8 ","25,194.9 ","95,281.1 ",513.2 ,"106,785.5 ","28,292.9 ",-272.6 ,"3,228.7 ","87,284.5 ","84,055.8 ",181.4 ,,"2,002.5 ","568,983.3 ","18,708.1 ","28,941.0 ","10,233.0 ","587,691.3 ",,"563,450.0 ","428,722.1 ","134,827.3 ",,"148,738.6 ",,"566,650.7 ",,,
10-12.,"567,027.9 ","308,233.6 ","299,755.4 ","248,273.7 ","25,283.8 ","95,965.5 ","-1,350.9 ","106,846.6 ","28,297.8 ",-329.3 ,"3,968.6 ","89,240.8 ","85,272.2 ",112.3 ,,792.8 ,"567,820.7 ","18,875.5 ","29,107.3 ","10,231.7 ","586,696.3 ",,"562,740.3 ","427,997.9 ","134,839.1 ",,"149,524.8 ",,"568,715.1 ",,,
2017/ 1- 3.,"571,064.1 ","309,197.2 ","300,667.8 ","249,126.2 ","24,882.2 ","96,479.5 ",-231.5 ,"107,138.4 ","28,531.9 ",-257.4 ,"5,143.3 ","91,317.3 ","86,174.0 ",180.5 ,,"-1,424.5 ","569,639.7 ","21,368.0 ","31,999.4 ","10,631.3 ","591,007.7 ",,"565,597.2 ","430,265.9 ","135,429.7 ",,"149,881.4 ",,"571,500.3 ",,,
4- 6.,"572,963.0 ","311,146.2 ","302,552.7 ","250,953.9 ","25,159.4 ","97,118.4 ",-398.2 ,"106,828.2 ","28,852.0 ",-39.0 ,"4,165.3 ","91,320.4 ","87,155.1 ",130.8 ,,"-1,793.7 ","571,169.3 ","20,050.7 ","30,853.6 ","10,802.9 ","591,220.0 ",,"568,507.7 ","432,982.9 ","135,631.5 ",,"151,112.5 ",,"573,329.5 ",,,
7- 9.,"579,559.5 ","310,200.6 ","301,494.2 ","249,837.8 ","24,991.4 ","98,542.2 ","2,750.0 ","107,318.2 ","28,322.2 ",-21.7 ,"7,154.7 ","93,617.4 ","86,462.8 ",302.0 ,,-876.1 ,"578,683.4 ","21,456.6 ","31,989.1 ","10,532.5 ","600,140.0 ",,"572,082.7 ","436,569.3 ","135,634.2 ",,"151,868.3 ",,"576,671.0 ",,,
10-12.,"580,438.6 ","311,514.6 ","302,741.7 ","251,039.0 ","24,499.5 ","99,159.2 ","3,400.2 ","107,307.2 ","28,516.7 ",-17.8 ,"5,711.5 ","94,687.3 ","88,975.8 ",347.5 ,,"-2,498.5 ","577,940.1 ","20,816.3 ","32,018.3 ","11,202.0 ","598,756.4 ",,"574,393.2 ","438,702.9 ","135,817.4 ",,"152,198.6 ",,"576,862.4 ",,,
2018/ 1- 3.,"579,414.9 ","310,597.1 ","301,802.7 ","250,053.1 ","23,819.6 ","99,681.6 ","1,395.9 ","108,136.5 ","28,739.1 ",-12.8 ,"6,700.8 ","96,277.0 ","89,576.2 ",357.0 ,,"-3,308.1 ","576,106.8 ","20,349.4 ","32,520.8 ","12,171.4 ","596,456.2 ",,"572,320.8 ","435,547.1 ","136,877.5 ",,"152,267.7 ",,"577,919.8 ",,,
4- 6.,"583,110.4 ","310,819.5 ","302,061.8 ","250,249.4 ","23,192.9 ","102,389.9 ","1,759.4 ","108,020.7 ","29,151.6 ",20.2 ,"7,310.8 ","97,063.6 ","89,752.9 ",445.3 ,,"-5,370.9 ","577,739.5 ","21,941.7 ","33,937.9 ","11,996.2 ","599,681.2 ",,"575,370.1 ","438,278.8 ","137,201.2 ",,"154,779.7 ",,"581,185.7 ",,,
7- 9.,"580,388.3 ","311,431.5 ","302,691.6 ","250,866.1 ","23,241.8 ","99,640.2 ","2,092.9 ","107,978.7 ","29,008.3 ",66.8 ,"6,568.5 ","95,714.8 ","89,146.3 ",359.6 ,,"-6,789.5 ","573,598.7 ","21,798.0 ","33,904.2 ","12,106.3 ","595,396.7 ",,"573,466.7 ","436,500.1 ","137,070.8 ",,"151,914.4 ",,"578,053.4 ",,,
10-12.,"580,805.2 ","311,606.0 ","302,742.9 ","250,842.3 ","23,491.1 ","101,879.0 ","3,796.1 ","108,842.2 ","28,663.7 ",27.4 ,"2,430.8 ","95,965.2 ","93,534.4 ",69.0 ,,"-7,113.7 ","573,691.5 ","22,385.8 ","34,946.3 ","12,560.4 ","596,077.3 ",,"578,429.5 ","440,982.4 ","137,561.3 ",,"154,077.0 ",,"576,721.5 ",,,
2019/ 1- 3.,"581,283.2 ","310,404.0 ","301,279.2 ","249,266.1 ","24,163.5 ","102,335.0 ","1,163.3 ","109,146.8 ","29,319.5 ",-41.6 ,"4,564.9 ","94,823.5 ","90,258.6 ",227.8 ,,"-4,198.4 ","577,084.8 ","21,935.6 ","34,111.0 ","12,175.4 ","599,020.4 ",,"576,474.7 ","438,146.9 ","138,424.6 ",,"155,847.6 ",,"580,072.3 ",,,
4- 6.,"583,692.7 ","310,303.6 ","300,951.0 ","248,817.6 ","24,432.5 ","102,270.8 ","2,659.0 ","110,300.6 ","29,933.3 ",-97.4 ,"3,745.6 ","95,182.5 ","91,436.9 ",144.8 ,,"-5,967.9 ","577,724.8 ","22,262.7 ","34,768.4 ","12,505.7 ","599,987.5 ",,"579,853.8 ","439,824.5 ","140,116.3 ",,"156,654.5 ",,"580,963.2 ",,,
7- 9.,"584,161.3 ","312,589.6 ","303,065.7 ","250,791.4 ","24,540.6 ","104,538.7 ",-237.5 ,"110,864.0 ","29,752.1 ",-113.8 ,"2,431.6 ","95,698.9 ","93,267.3 ",-204.0 ,,"-5,318.2 ","578,843.1 ","22,537.9 ","35,453.5 ","12,915.6 ","601,381.0 ",,"581,850.8 ","441,457.1 ","140,483.6 ",,"158,868.3 ",,"584,524.2 ",,,
